Species,Order,Family,Genus,EADDC,BDT C,UDT
Tyrophagus putrescentiae,Acari,Acaridae,Tyrophagus,291.4,5,36.1
Epitrimerus pyri,Acari,Eriophyidae,Epitrimerus,144.9,3.8,
Epitrimerus pyri,Acari,Eriophyidae,Epitrimerus,,6.2,
Epitrimerus pyri,Acari,Eriophyidae,Epitrimerus,162.9,5.31,
Ixodes scapularis,Acari,Ixodidae,Ixodes,, ,
Polyphagotarsonemus latus,Acari,Tarsonemidae,Polyphagotarsonemus,, ,
Amphitetranychus viennensis,Acari,Tetranychidae,Amphitetranychus,168.92,11.49,
Amphitetranychus viennensis,Acari,Tetranychidae,Amphitetranychus,185.18,9.07,
Eotetranychus carpini,Acari,Tetranychidae,Eotetranychus,68.59,9.21,30.3
Eotetranychus carpini borealis,Acari,Tetranychidae,Eotetranychus,317.5,3.33,35
Eotetranychus carpini borealis,Acari,Tetranychidae,Eotetranychus,59.33,9.44,25
Eotetranychus kankitus,Acari,Tetranychidae,Eotetranychus,71.71,9.9,30
Eotetranychus populi,Acari,Tetranychidae,Eotetranychus,102.41,8.45,28
Eotetranychus sp.,Acari,Tetranychidae,Eotetranychus,100.6,7.05,27
Eotetranychus willamettei,Acari,Tetranychidae,Eotetranychus,76.06,9.36,28
Eutetranychus orientalis,Acari,Tetranychidae,Eutetranychus,70.94,14.02,30
Eutetranychus orientalis,Acari,Tetranychidae,Eutetranychus,98.74,7.91,30
Metatetranychus ulmi,Acari,Tetranychidae,Metatetranychus,103.68,7.91,30
Mononychellus progresivus,Acari,Tetranychidae,Mononychellus,129.9,13,
Mononychellus progresivus,Acari,Tetranychidae,Mononychellus,53.91,14.6,31
Mononychellus tanajoa,Acari,Tetranychidae,Mononychellus,137.2,14.46,
Mononychellus tanajoa,Acari,Tetranychidae,Mononychellus,61.6,15.2,31
Oligonychus coffeae,Acari,Tetranychidae,Oligonychus,200,10.2,
Oligonychus coffeae,Acari,Tetranychidae,Oligonychus,212.8,10,
Oligonychus coffeae,Acari,Tetranychidae,Oligonychus,81.81,12.94,32
Oligonychus gossypii,Acari,Tetranychidae,Oligonychus,161.4,11,
Oligonychus gossypii,Acari,Tetranychidae,Oligonychus,65.15,12.83,31
Oligonychus milleri,Acari,Tetranychidae,Oligonychus,, ,
Oligonychus milleri,Acari,Tetranychidae,Oligonychus,110.92,10.47,30
Oligonychus perseae,Acari,Tetranychidae,Oligonychus,200,7.8,
Oligonychus perseae,Acari,Tetranychidae,Oligonychus,166,9,
Oligonychus perseae,Acari,Tetranychidae,Oligonychus,205.1,8.93,
Oligonychus subnudus,Acari,Tetranychidae,Oligonychus,322.7,6.4,
Panonychus citri,Acari,Tetranychidae,Panonychus,151.61,10.85,
Panonychus citri,Acari,Tetranychidae,Panonychus,222.9,8,
Panonychus citri,Acari,Tetranychidae,Panonychus,189.9,8.2,
Panonychus citri,Acari,Tetranychidae,Panonychus,174,10.56,
Panonychus citri,Acari,Tetranychidae,Panonychus,, ,
Panonychus citri,Acari,Tetranychidae,Panonychus,, ,
Panonychus citri,Acari,Tetranychidae,Panonychus,, ,
Panonychus citri,Acari,Tetranychidae,Panonychus,347.5,7.9,
Panonychus citri,Acari,Tetranychidae,Panonychus,112.09,8.38,28
Panonychus ulmi,Acari,Tetranychidae,Panonychus,, ,
Panonychus ulmi,Acari,Tetranychidae,Panonychus,140.2,10.6,
Panonychus ulmi,Acari,Tetranychidae,Panonychus,, ,
Panonychus ulmi,Acari,Tetranychidae,Panonychus,, ,
Tetranychus cinnabarinus,Acari,Tetranychidae,Tetranychus,163.25,10,
Tetranychus cinnabarinus,Acari,Tetranychidae,Tetranychus,67.51,10.12,33
Tetranychus cinnabarinus,Acari,Tetranychidae,Tetranychus,63.67,8.81,30
Tetranychus cinnabarinus,Acari,Tetranychidae,Tetranychus,56.7,9.38,30
